album,title,singer,lyrics,start_time,end_time
Blood Mountain,sleeping giant,Brent Hinds, Bulls roar loud The fearless fall Wooden vessel Broken wings Caught my killer In my grave ,2:02,2:22
Blood Mountain,sleeping giant,Troy Sanders, Shame on ,2:22,2:26
Blood Mountain,sleeping giant,Brent Hinds, Eyes of grace Kill again Trapped in maze Trembling fear Head scorched brow Perish the land ,3:30,3:50
Blood Mountain,sleeping giant,Troy Sanders, Shame on ,3:50,3:54
Blood Mountain,sleeping giant,Troy Sanders, A vast calm wilderness The call to adventure comes ,4:20,4:35
Blood Mountain,sleeping giant,Troy Sanders, Lead and land atop this rock Infinite path carved with unrivaled skill ,4:55,5:08
Blood Mountain,this mortal soil,Troy Sanders, Floating in red again A deepened soil Nothing Empty cup Trade not known ,1:18,1:52
Blood Mountain,this mortal soil,Brent Hinds, Showing promise of a perfect land No regrets for a fallen ground The omen passed Woman possessed Reflect on the duties held ,1:52,2:08
Blood Mountain,this mortal soil,Troy Sanders, Oceans morph to dust Chasing the timeline Bolts of light flash Original storm god ,2:09,2:30
Blood Mountain,this mortal soil,Brent Hinds, The atmosphere that floats above the earth Is corrupt for man This we know What has dwelt within the early dawn has gone away That's okay ,2:59,3:16
Blood Mountain,this mortal soil,Troy Sanders, Dig Climb Ancient elm Root Ride the vine of father ground our carving ,3:23,3:39
Blood Mountain,this mortal soil,Troy Sanders, Dig Climb Ancient elm Root Ride the vine of father ground our carving ,4:03,4:15
Blood Mountain,this mortal soil,Brent Hinds, The atmosphere that floats above the earth is corrupt for man This we know ,4:21,4:27
Blood Mountain,this mortal soil,Troy Sanders, Circle Made of ash Betray her presence Huntress Gentle breath Listen to the poison rose ,4:30,4:56
Blood Mountain,wolf is loose,Brent Hinds, The hero of the gods The crossing of the threshold The belly of the whale Refusal of return ,0:08,0:17
Blood Mountain,wolf is loose,Troy Sanders, Hollow eyes Dry pale legs Howling on Through fields and graves ,0:17,0:27
Blood Mountain,wolf is loose,Brent Hinds, Language of the signs Symbols to our sight Guardian to thy throne Take on form ,0:29,0:39
Blood Mountain,wolf is loose,Troy Sanders, Daylight Hide the skin Cut it off Scatter ash in the wind ,0:40,0:50
Blood Mountain,wolf is loose,Brent Hinds, Shapeshifter rolling on winds of tyrants make Fierce lore of fanged horn Danger all the way Night's sea reflection The faces of bodies slain Returning to the form of natural human's fate ,0:50,1:12
Blood Mountain,wolf is loose,Troy Sanders, Grown from the cold Spirits unclean Dealer of the days The ice will thaw ,1:38,1:53
Blood Mountain,wolf is loose,Brent Hinds, As the soldier walks through the crimson side Researchers of aftermath Dispelling disarming man One-toed horses subject of Genesis And the immigrants ,2:26,2:42
Blood Mountain,wolf is loose,Brent Hinds, Fundamental side of a human mind Hulder folk and fairies So believe ,2:50,3:00
Blood Mountain,wolf is loose,Brent Hinds, The hero of the gods The crossing of the threshold The belly of the whale Refusal of return ,3:10,3:19
Crack the Skye,crack the skye,Scott Kelly,  Blessed visionary cut me with your sun  The rivers ran in blood  Spark fueled to fire  ,1:05,1:19
Crack the Skye,crack the skye,Brann Dailor,  Deep within this endless void  Searching for a sign  ,1:19,1:34
Crack the Skye,crack the skye,Scott Kelly,  The vessel forged inside of me  Watches over  Like the death of the moon  ,1:34,1:51
Crack the Skye,crack the skye,Brann Dailor,"  Strike the shepherd, sheep will scatter  Mountains of despair  ",1:51,2:06
Crack the Skye,crack the skye,Troy Sanders,  I can see the pain  It's written all over your face  ,2:06,2:14
Crack the Skye,crack the skye,Scott Kelly,  The screaming arrows tear through my soul  In the dawn your face is haunting  White ghostly dreams of old  ,2:15,2:30
Crack the Skye,crack the skye,Brann Dailor,  Weight of world is on your shoulder  Hear the voice of gold  ,2:30,2:45
Crack the Skye,crack the skye,Troy Sanders,  Weight of world is on your shoulder  Hear the voice of gold  ,2:30,2:45
Crack the Skye,crack the skye,Troy Sanders,  I can see the pain  It's written all over your face  ,2:46,2:54
Crack the Skye,crack the skye,Brann Dailor,  Desperate heathens flock to sirens  Guard your heartache well  ,4:26,4:38
Crack the Skye,crack the skye,Troy Sanders,  Desperate heathens flock to sirens  Guard your heartache well  ,4:26,4:38
Crack the Skye,crack the skye,Scott Kelly,  Momma don't let them take her  Don't let them take her down  At least alone  ,4:40,4:55
Crack the Skye,crack the skye,Brann Dailor,  Please tell Lucifer he can't have this one  Her spirit's too strong  ,4:55,5:10
Crack the Skye,crack the skye,Troy Sanders,  Please tell Lucifer he can't have this one  Her spirit's too strong  ,4:55,5:10
Crack the Skye,crack the skye,Troy Sanders,  I can see the pain  It's written all over your face  I can see the pain  You can make it all go away ,5:10,5:27
Crack the Skye,divinations,Brent Hinds, It's gone away  It's gone away  It's gone for good  Animal spirits come calling me home  Through the tunnels of brilliant light  The magnet of wisdom is pulling  Burrowing faster the fabric of time  ,0:34,1:00
Crack the Skye,divinations,Troy Sanders, No escape  Binding spirits  No escape  Trapped in time space  ,1:02,1:16
Crack the Skye,divinations,Brent Hinds, Rapid descendants  The wormhole is empty  The center of Khlysty surrounds me  The fire is dancing in a silvery sheet of breath  Black robe  Necromancing  Summon the soul of the spectre  ,1:16,1:43
Crack the Skye,divinations,Troy Sanders, No escape  Binding spirits  No escape  Trapped in time space  ,1:43,1:57
Crack the Skye,divinations,Troy Sanders, Fire in the eye  Realm of mystic majesty  ,1:57,2:11
Crack the Skye,divinations,Troy Sanders, No escape  Binding spirits  No escape  Trapped in time space  ,2:54,3:07
Crack the Skye,divinations,Troy Sanders, Fire in the eye Realm of mystic majesty ,3:07,3:26
Crack the Skye,ghost of karelia,Troy Sanders, Wrathful ones nine eyes gaze  Holding skulls  Filled and laced  With human blood  ,0:33,0:48
Crack the Skye,ghost of karelia,Troy Sanders, Wrathful ones nine eyes gaze  Holding skulls  Filled and laced  With human blood  ,0:59,1:11
Crack the Skye,ghost of karelia,Troy Sanders, Shades of darkened skies Emptiness Twilight holding through Offering Life in zenith Bulls blood shot eyes Flattened portrait of the night sky Feel crust hum Facing the North Vapor space Between heaven and Earth Wisdom and the knower A planet collide Divisible we fall Hear dirt waves Wading forth Vapor space How long has it been since we flew through the shadows I have walked on many other planets ,1:27,2:50
Crack the Skye,ghost of karelia,Troy Sanders, How long has it been since we flew through the shadows I have walked on many other planets ,3:03,3:15
Crack the Skye,ghost of karelia,Troy Sanders, Sinister twin Choking on fear Bonded iron Sink to the core Hear dirt waves Wading forth Vapor space ,3:22,3:49
Crack the Skye,ghost of karelia,Troy Sanders, Shades of darkened skies Emptiness Twilight holding through Offering ,4:13,4:32
Crack the Skye,ghost of karelia,Troy Sanders, Wrathful ones nine eyes gaze Holding skulls Filled and laced With human blood ,4:47,5:01
Crack the Skye,oblivion,Brann Dailor,  I flew beyond the sun before it was time  Burning all the gold that held me inside my shell  Waiting for you to pull me back in  I almost had the world in my sight  ,0:57,1:18
Crack the Skye,oblivion,Troy Sanders,"  Lost love, bright eyes fading  Faster than stars falling  How can I tell you that I've failed?  Tell you I failed  ",1:18,1:40
Crack the Skye,oblivion,Brent Hinds,  Falling from grace 'cause I've been away too long Leaving you behind with my lonesome song  Now I'm lost in oblivion  ,1:40,2:00
Crack the Skye,oblivion,Brann Dailor,"  I tried to burrow a hole into the ground  Breaking all the fingers and the nails from my hands  The eyes of a child see no wrong  Ignorant bliss, impending doom  ",2:00,2:20
Crack the Skye,oblivion,Troy Sanders,"  Lost love, bright eyes fading  Faster than stars falling  How can I tell you that I've failed? Tell you I failed  ",2:20,2:42
Crack the Skye,oblivion,Brent Hinds,  Falling from grace 'cause I've been away too long  Leaving you behind with my lonesome song  Now I'm lost  Falling from grace 'cause I've been away too long  Leaving you behind with my lonesome song  Now I'm lost in oblivion  ,2:42,3:20
Crack the Skye,oblivion,Brent Hinds,  Falling from grace 'cause I've been away too long  Leaving you behind with my lonesome song  Now I'm lost  Falling from grace 'cause I've been away too long  Leaving you behind with my lonesome song  Now I'm lost in oblivion  ,4:42,5:21
Crack the Skye,oblivion,Brent Hinds, In oblivion  In oblivion ,5:25,5:40
Crack the Skye,quintessence,Brent Hinds, The demon skin is covered in fine mist  Opened his hand in my hand  Holding my eyes to the future  Hovering above myself  Letting loose the guided  Punching these holes in my head  The space time paradigm  ,0:37,1:17
Crack the Skye,quintessence,Brann Dailor, Omnipresence  Primal instincts  ,1:17,1:34
Crack the Skye,quintessence,Brent Hinds, Letting go  Letting go  Letting go  Letting go  Letting go  ,1:34,1:41
Crack the Skye,quintessence,Troy Sanders, Calling reason  Finding you  These wild hearts run  Even deeper  Burning through  These wild hearts run  ,1:41,1:59
Crack the Skye,quintessence,Brent Hinds, Letting go  Letting go  Letting go  Letting go  Letting go  ,1:59,2:11
Crack the Skye,quintessence,Troy Sanders, Letting go  Letting go  Letting go  Letting go  Letting go  ,1:59,2:11
Crack the Skye,quintessence,Brent Hinds, Letting me free the quintessence  In fine mist  Opened his hand in center  Holding my eyes to the future  Hovering above myself  Letting loose the guided  Punching these holes in my head  Losing my skin to the landslide  ,2:16,2:53
Crack the Skye,quintessence,Brann Dailor, Omnipresence  Primal instincts  ,2:53,3:12
Crack the Skye,quintessence,Brent Hinds, Omnipresence  Primal instincts  ,2:53,3:12
Crack the Skye,quintessence,Brent Hinds, Letting go  Letting go  Letting go  Letting go  Letting go  ,3:12,3:19
Crack the Skye,quintessence,Troy Sanders, Letting go  Letting go  Letting go  Letting go  Letting go  ,3:12,3:19
Crack the Skye,quintessence,Troy Sanders, Calling reason  Finding you  These wild hearts run  Even deeper  Burning through  These wild hearts run  ,3:19,3:37
Crack the Skye,quintessence,Brent Hinds, Letting go  Letting go  Letting go  Letting go  Letting go  ,3:37,3:49
Crack the Skye,quintessence,Troy Sanders, Letting go  Letting go  Letting go  Letting go  Letting go  ,3:37,3:49
Crack the Skye,quintessence,Troy Sanders, Shield failure  Speed farewell  Shield failure  Speed farewell ,4:32,5:08
Crack the Skye,the czar,Brent Hinds," Don't stay, run away  He has ordered assassination  Don't stay, run away  The henchmen are gathered and waiting  Don't stay, run away  Your role as usurper is found out  Don't stay, run away  Czarina has warned of the danger  ",1:33,2:08
Crack the Skye,the czar,Troy Sanders," Don't stay, run away  He has ordered assassination  Don't stay, run away  The henchmen are gathered and waiting  Don't stay, run away  Your role as usurper is found out  Don't stay, run away  Czarina has warned of the danger  ",1:33,2:08
Crack the Skye,the czar,Brent Hinds, It's your own fault  This is what we wanted  It's your own fault  This is where we lay ,2:22,2:38
Crack the Skye,the czar,Troy Sanders, It's your own fault  This is what we wanted  It's your own fault  This is where we lay ,2:22,2:38
Crack the Skye,the czar,Brent Hinds," Don't stay, run away  He has ordered assassination  Don't stay, run away  The henchmen are gathered and waiting  Don't stay, run away  Your role as usurper is found out  Don't stay, run away  Czarina has warned of the danger ",2:47,3:19
Crack the Skye,the czar,Troy Sanders," Don't stay, run away  He has ordered assassination  Don't stay, run away  The henchmen are gathered and waiting  Don't stay, run away  Your role as usurper is found out  Don't stay, run away  Czarina has warned of the danger ",2:47,3:19
Crack the Skye,the czar,Brent Hinds, It's your own fault  This is what we wanted  It's your own fault  This is where we lay  ,3:19,3:35
Crack the Skye,the czar,Troy Sanders, It's your own fault  This is what we wanted  It's your own fault  This is where we lay  ,3:19,3:35
Crack the Skye,the czar,Troy Sanders, By the light of the moon  You must escape into the deep black of the night  Fight the devil inside  Enemies poison deep within my second sight  Wasting valuable time  ,4:10,4:28
Crack the Skye,the czar,Brent Hinds, Ride the tides of blood  ,4:31,4:33
Crack the Skye,the czar,Troy Sanders, Illumination  ,4:33,4:35
Crack the Skye,the czar,Brent Hinds, Beauties sudden hand  ,4:35,4:37
Crack the Skye,the czar,Troy Sanders, Shattered crown ,4:37,4:39
Crack the Skye,the czar,Brent Hinds, Stretching arms up high ,4:39,4:41
Crack the Skye,the czar,Troy Sanders, We're on our way now  ,4:41,4:43
Crack the Skye,the czar,Brent Hinds, Leave the Czar to die  ,4:43,4:48
Crack the Skye,the czar,Troy Sanders, By the light of the moon  You must escape into the deep black of the night  Fight the devil inside  Enemies poison deep within my second sight  Wasting valuable time  ,5:44,6:02
Crack the Skye,the czar,Brent Hinds, Ride the tides of blood  ,6:05,6:08
Crack the Skye,the czar,Troy Sanders, Illumination  ,6:08,6:09
Crack the Skye,the czar,Brent Hinds, Beauties sudden hand  ,6:09,6:12
Crack the Skye,the czar,Troy Sanders, Shattered crown ,6:12,6:13
Crack the Skye,the czar,Brent Hinds, Stretching arms up high ,6:13,6:16
Crack the Skye,the czar,Troy Sanders, We're on our way now  ,6:16,6:17
Crack the Skye,the czar,Brent Hinds, Leave the Czar to die  ,6:17,6:20
Crack the Skye,the czar,Brent Hinds, Spiraling up through the crack in the sky  Leaving material world behind  I see your face in constellations  The martyr is ending his life for mine ,7:45,8:17
Crack the Skye,the last baron,Brent Hinds, I'd guess they would say We could set this world ablaze ,0:08,0:23
Crack the Skye,the last baron,Troy Sanders," Please, please take my hand, please take my soul to rest ",0:25,0:30
Crack the Skye,the last baron,Brent Hinds, So we can always be around It is hard to see Through all the haze at the top of the trees Hold my head on stable ground Watch as the Earth falls all around ,0:30,1:02
Crack the Skye,the last baron,Troy Sanders," Please, please take my hand, please take my soul to rest ",1:05,1:10
Crack the Skye,the last baron,Brent Hinds," So we can always be around Faltering footsteps, dead end path All that I need is this wise man's staff Encased in crystal, he leads the way I guess they'd say we could set the world ablaze ",1:10,1:44
Crack the Skye,the last baron,Troy Sanders," Please, please take my hand, please take my soul to rest ",1:46,1:51
Crack the Skye,the last baron,Brent Hinds, So we can always be around I guess they would say We can set the world ablaze Hold my head on stable ground Watch as the Earth falls all around ,1:51,2:18
Crack the Skye,the last baron,Brent Hinds, Take my black soul Alive in the fires that burn my skin Guide my eyes all through this maze I guess they'd say we could set the world ablaze ,2:36,2:51
Crack the Skye,the last baron,Brent Hinds," All that I have seen Standing on the edge, the foot of precipice Floating in the sea Past the king of swords, quickly to the shore The last baron The last baron ",3:56,4:19
Crack the Skye,the last baron,Guest, Ghost of man Surrounds me in my slumber I have no fear As your wing is my shelter ,4:19,4:40
Crack the Skye,the last baron,Brent Hinds," Cyanide he craves Coursing through his veins, providing him with strength To see this to the end Afraid of psychic eyes, faith in mystic power The last baron The last baron ",4:40,5:03
Crack the Skye,the last baron,Troy Sanders, Will he save me? Will he save me? ,5:03,5:15
Crack the Skye,the last baron,Brent Hinds, I was standing staring at the world And I can't see it I was standing staring at the world And I can't see it ,5:48,5:58
Crack the Skye,the last baron,Brent Hinds, I was standing staring at the world And I can't see it I was standing staring at the world And I still can't see it ,6:23,6:33
Crack the Skye,the last baron,Brent Hinds, I was standing staring at the world And I can't see it I was standing staring at the world And I still can't see it ,7:00,7:15
Crack the Skye,the last baron,Brent Hinds," All that I have seen Standing on the edge, the foot of precipice Floating in the sea Past the king of swords, quickly to the shore The last baron The last baron ",7:15,7:37
Crack the Skye,the last baron,Troy Sanders, Ghost of man Surrounds me in my slumber I have no fear As your wing is my shelter ,7:37,7:55
Crack the Skye,the last baron,Brent Hinds," Cyanide he craves Coursing through his veins, providing him with strength To see this to the end Afraid of psychic eyes, faith in mystic power The last baron The last baron ",7:58,8:20
Crack the Skye,the last baron,Troy Sanders, Will he save me? ,8:36,8:44
Crack the Skye,the last baron,Troy Sanders, Will he save me? Will he save me? ,8:58,9:12
Crack the Skye,the last baron,Brent Hinds, I'd guess they would say We could set this world ablaze ,9:32,9:45
Crack the Skye,the last baron,Troy Sanders," Please, please take my hand, please take my soul to rest ",9:47,9:53
Crack the Skye,the last baron,Brent Hinds, So we can always be around It is hard to see Through all the haze at the top of the trees Hold my head on stable ground Watch as the Earth falls all around ,9:53,0:24
Crack the Skye,the last baron,Troy Sanders," Please, please take my hand, please take my soul to rest ",0:27,0:32
Crack the Skye,the last baron,Brent Hinds," So we can always be around Faltering footsteps, dead end path All that I need is this wise man's staff Encased in crystal, he leads the way I guess they'd say we could set the world ablaze ",0:32,1:06
Emperor of Sand,ancient kingdom,Brann Dailor,  When the Sultan gives orders to take your head  You must ride the winds to safety or you'll wind up dead  Through the evil and darkness you make your stand  Only skeletons of war will guide you by the hand  ,0:17,0:40
Emperor of Sand,ancient kingdom,Troy Sanders,  Silence growing loud  Failure is not allowed  ,0:43,0:55
Emperor of Sand,ancient kingdom,Brann Dailor,  The battle that rages before my eyes  Is no different than the one that lives inside my head  ,0:57,1:08
Emperor of Sand,ancient kingdom,Troy Sanders,  Silence growing loud  Failure is not allowed  Ancient Kingdom still remains  Crumble slowly  Ride beyond mortality  Leaving beauty now  ,1:11,1:48
Emperor of Sand,ancient kingdom,Brent Hinds,  Falling rain sensing pain of mind  Falling rain sensing pain of mind  Pain of mind   ,1:52,2:23
Emperor of Sand,ancient kingdom,Brent Hinds,  Falling rain sensing pain of mind  Falling rain sensing pain of mind  Pain of mind  ,2:53,3:28
Emperor of Sand,ancient kingdom,Troy Sanders,"  Silence growing loud  Failure is not allowed  Ancient Kingdom still remains  Crumble slowly  Ride beyond mortality  Leaving beauty now  Sparks explode into the air  Live forever  Ageless sounds, they never die  And I will remain ",3:36,4:40
Emperor of Sand,andromeda,Troy Sanders,  It never ends  The game isn't done  I feel the crawling and haunting upon us until you listen  It never ends  Enough is enough  Taking your essence and use it to strengthen their own flesh and blood  ,0:08,0:32
Emperor of Sand,andromeda,Brann Dailor,  Time watching as the sand flows through glass  Light calls to me from future and from past  This kills me to know  We cannot learn  ,0:40,1:04
Emperor of Sand,andromeda,Troy Sanders,  It never ends  The ink isn't dry  The Great Consolation has written a second lease on your life  The Great Consolation has granted a second lease on your life  ,1:08,1:26
Emperor of Sand,andromeda,Brann Dailor,  Light watching as the sand flows through glass  Time calls to me from future and from past  This kills me to know  We cannot learn  ,1:26,1:52
Emperor of Sand,andromeda,Troy Sanders,  Light watching as the sand flows through glass  Time calls to me from future and from past  This kills me to know  We cannot learn  ,1:26,1:52
Emperor of Sand,andromeda,Brann Dailor,"  Time watching as the sand flows through glass (Time is moving as sand's flowing) Light calls to me from future and from past (Light is blinding, radiating) ",3:00,3:13
Emperor of Sand,andromeda,Troy Sanders,"  Time watching as the sand flows through glass (Time is moving as sand's flowing) Light calls to me from future and from past (Light is blinding, radiating) ",3:00,3:13
Emperor of Sand,andromeda,Troy Sanders,"  It never ends, it never ends, it never ends  ",3:16,3:25
Emperor of Sand,andromeda,Guest,"  Chronic illusions confusing conclusions  Foster the culture, predict the deception  Chronic delusions with caustic solutions ",3:36,3:54
Emperor of Sand,clandestiny,Troy Sanders,  Silent all your life  Running without vision  Hollowed out inside  Wronging all that's right  ,0:14,0:26
Emperor of Sand,clandestiny,Brent Hinds,  There's no cause to be alarmed  And no reason to escape from us  There's no illness and no pain  And no thought of any suffering  ,0:27,0:48
Emperor of Sand,clandestiny,Troy Sanders,"  The road is long and bare  No clarity, no light  The moment came and swallowed us  Blinding all our sight  ",0:51,1:00
Emperor of Sand,clandestiny,Brent Hinds,  We will keep you free from harm  All you have to do is stand with us  I will mend your wounded heart  And restore the trust that you have lost  ,1:02,1:23
Emperor of Sand,clandestiny,Troy Sanders,  Give your life  So I can breathe  Save our lives  It's all we need  ,1:24,1:47
Emperor of Sand,clandestiny,Brent Hinds,  Give your life  So I can breathe  Save our lives  It's all we need  ,1:24,1:47
Emperor of Sand,clandestiny,Brent Hinds,  We can lead you underground  And devour your humanity  Follow heat and follow sound  To the end of your insanity  ,3:14,3:35
Emperor of Sand,clandestiny,Troy Sanders,  Give your life  So I can breathe  Save our lives  It's all we need  Give your life  So I can breathe  Save our lives  It's all we need ,3:36,4:24
Emperor of Sand,clandestiny,Brent Hinds,  Give your life  So I can breathe  Save our lives  It's all we need  Give your life  So I can breathe  Save our lives  It's all we need ,3:36,4:24
Emperor of Sand,jaguar god,Brent Hinds,  I ain't no good  And I live by the wood  They say I ain't bad  I'm the best they have had  And I know it ain't right  But I'll fight my whole life Just to prove that I was right  The day it went down  I was out on my path  Not feeling so bad  I'm a suspect now  I'm a vagabond tramp  Living out on the lam  I live by the woods  They say I ain't bad  I'm the best that I've had  And I know it ain't right  But I'll fight my whole life  Just to prove that I was right  ,0:30,1:59
